timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1503756326858,212,HTTP Request,200,,Thread Group 1-172,text,true,,139284,196,273,273,70,0,1
1503756326940,171,HTTP Request,200,,Thread Group 1-200,text,true,,139284,196,301,301,40,0,1
1503756326785,886,HTTP Request,200,,Thread Group 1-145,text,true,,139284,196,300,300,884,0,1
1503756326782,890,HTTP Request,200,,Thread Group 1-124,text,true,,139284,196,299,299,888,0,1
1503756326985,692,HTTP Request,200,,Thread Group 1-214,text,true,,139284,196,298,298,690,0,2
1503756326974,704,HTTP Request,200,,Thread Group 1-206,text,true,,139284,196,297,297,699,0,1
1503756326786,892,HTTP Request,200,,Thread Group 1-128,text,true,,139284,196,297,297,887,0,1
1503756326986,695,HTTP Request,200,,Thread Group 1-210,text,true,,139284,196,295,295,694,0,0
1503756326810,878,HTTP Request,200,,Thread Group 1-152,text,true,,139284,196,294,294,860,0,1
1503756326986,702,HTTP Request,200,,Thread Group 1-209,text,true,,139284,196,294,294,697,0,0
1503756326988,703,HTTP Request,200,,Thread Group 1-217,text,true,,139284,196,292,292,692,0,0
1503756326987,705,HTTP Request,200,,Thread Group 1-218,text,true,,139284,196,291,291,692,0,1
1503756326991,709,HTTP Request,200,,Thread Group 1-221,text,true,,139284,196,290,290,706,0,1
1503756326985,716,HTTP Request,200,,Thread Group 1-205,text,true,,139284,196,289,289,705,0,2
1503756326993,710,HTTP Request,200,,Thread Group 1-223,text,true,,139284,196,288,288,708,0,1
1503756326991,719,HTTP Request,200,,Thread Group 1-222,text,true,,139284,196,287,287,702,0,1
1503756326998,718,HTTP Request,200,,Thread Group 1-216,text,true,,139284,196,286,286,714,0,1
1503756326999,724,HTTP Request,200,,Thread Group 1-225,text,true,,139284,196,285,285,718,0,1
1503756326998,725,HTTP Request,200,,Thread Group 1-227,text,true,,139284,196,285,285,706,0,1
1503756327001,723,HTTP Request,200,,Thread Group 1-229,text,true,,139284,196,284,284,718,0,0
1503756327003,733,HTTP Request,200,,Thread Group 1-220,text,true,,139284,196,282,282,728,0,1
1503756327010,729,HTTP Request,200,,Thread Group 1-231,text,true,,139284,196,281,281,725,0,1
1503756326807,933,HTTP Request,200,,Thread Group 1-151,text,true,,139284,196,280,280,898,0,1
1503756327012,736,HTTP Request,200,,Thread Group 1-228,text,true,,139284,196,279,279,732,0,1
1503756326995,757,HTTP Request,200,,Thread Group 1-226,text,true,,139284,196,278,278,715,0,1
1503756327014,739,HTTP Request,200,,Thread Group 1-235,text,true,,139284,196,277,277,737,0,1
1503756327004,749,HTTP Request,200,,Thread Group 1-230,text,true,,139284,196,276,276,738,0,1
1503756326990,766,HTTP Request,200,,Thread Group 1-212,text,true,,139284,196,275,275,704,0,1
1503756327018,741,HTTP Request,200,,Thread Group 1-238,text,true,,139284,196,274,274,739,0,0
1503756327017,743,HTTP Request,200,,Thread Group 1-232,text,true,,139284,196,273,273,741,0,1
1503756327022,743,HTTP Request,200,,Thread Group 1-242,text,true,,139284,196,272,272,740,0,1
1503756327023,745,HTTP Request,200,,Thread Group 1-241,text,true,,139284,196,271,271,743,0,1
1503756326985,785,HTTP Request,200,,Thread Group 1-215,text,true,,139284,196,270,270,715,0,1
1503756327022,751,HTTP Request,200,,Thread Group 1-236,text,true,,139284,196,269,269,748,0,1
1503756327014,829,HTTP Request,200,,Thread Group 1-234,text,true,,139284,196,268,268,759,0,1
1503756327016,828,HTTP Request,200,,Thread Group 1-237,text,true,,139284,196,267,267,735,0,1
1503756326787,1062,HTTP Request,200,,Thread Group 1-147,text,true,,139284,196,266,266,1060,0,1
1503756327039,817,HTTP Request,200,,Thread Group 1-254,text,true,,139284,196,265,265,814,0,0
1503756327038,819,HTTP Request,200,,Thread Group 1-253,text,true,,139284,196,264,264,812,0,1
1503756327040,820,HTTP Request,200,,Thread Group 1-255,text,true,,139284,196,263,263,818,0,1
1503756327042,822,HTTP Request,200,,Thread Group 1-256,text,true,,139284,196,262,262,820,0,1
1503756327044,825,HTTP Request,200,,Thread Group 1-257,text,true,,139284,196,261,261,822,0,1
1503756327047,833,HTTP Request,200,,Thread Group 1-259,text,true,,139284,196,260,260,831,0,1
1503756327045,837,HTTP Request,200,,Thread Group 1-258,text,true,,139284,196,259,259,826,0,1
1503756326790,1093,HTTP Request,200,,Thread Group 1-132,text,true,,139284,196,258,258,1081,0,1
1503756326919,966,HTTP Request,200,,Thread Group 1-192,text,true,,139284,196,257,257,954,0,1
1503756327055,834,HTTP Request,200,,Thread Group 1-262,text,true,,139284,196,256,256,831,0,1
1503756327051,838,HTTP Request,200,,Thread Group 1-261,text,true,,139284,196,256,256,831,0,1
1503756327055,838,HTTP Request,200,,Thread Group 1-260,text,true,,139284,196,254,254,831,0,1
1503756326913,980,HTTP Request,200,,Thread Group 1-188,text,true,,139284,196,253,253,962,0,0
1503756327055,841,HTTP Request,200,,Thread Group 1-263,text,true,,139284,196,252,252,837,0,1
1503756327059,851,HTTP Request,200,,Thread Group 1-266,text,true,,139284,196,255,255,849,0,1
1503756326867,1050,HTTP Request,200,,Thread Group 1-167,text,true,,139284,196,262,262,1006,0,1
1503756326929,988,HTTP Request,200,,Thread Group 1-174,text,true,,139284,196,262,262,944,0,1
1503756326924,994,HTTP Request,200,,Thread Group 1-170,text,true,,139284,196,261,261,949,0,1
1503756326938,982,HTTP Request,200,,Thread Group 1-181,text,true,,139284,196,260,260,936,0,1
