timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1503756252648,17,HTTP Request,200,,Thread Group 1-1,text,true,,39241,197,7,7,17,0,3
1503756252662,100,HTTP Request,200,,Thread Group 1-13,text,true,,39241,197,66,66,99,0,14
1503756252704,104,HTTP Request,200,,Thread Group 1-30,text,true,,39241,197,66,66,104,0,1
1503756252746,63,HTTP Request,200,,Thread Group 1-59,text,true,,39241,197,66,66,61,0,1
1503756252695,115,HTTP Request,200,,Thread Group 1-21,text,true,,39241,197,66,66,110,0,1
1503756252691,121,HTTP Request,200,,Thread Group 1-16,text,true,,39241,197,66,66,121,0,1
1503756252673,141,HTTP Request,200,,Thread Group 1-4,text,true,,39241,197,66,66,140,0,13
1503756252758,58,HTTP Request,200,,Thread Group 1-69,text,true,,39241,197,66,66,57,0,1
1503756252723,148,HTTP Request,200,,Thread Group 1-38,text,true,,39241,197,67,67,148,0,1
1503756252703,174,HTTP Request,200,,Thread Group 1-29,text,true,,39241,197,67,67,172,0,1
1503756252709,172,HTTP Request,200,,Thread Group 1-27,text,true,,39241,197,67,67,171,0,1
1503756252666,218,HTTP Request,200,,Thread Group 1-9,text,true,,39241,197,67,67,218,0,18
1503756252706,184,HTTP Request,200,,Thread Group 1-31,text,true,,39241,197,67,67,184,0,1
1503756252708,185,HTTP Request,200,,Thread Group 1-32,text,true,,39241,197,67,67,185,0,1
1503756252727,168,HTTP Request,200,,Thread Group 1-42,text,true,,39241,197,67,67,167,0,1
1503756252695,202,HTTP Request,200,,Thread Group 1-20,text,true,,39241,197,67,67,201,0,1
1503756252737,165,HTTP Request,200,,Thread Group 1-52,text,true,,39241,197,67,67,164,0,1
1503756252728,176,HTTP Request,200,,Thread Group 1-43,text,true,,39241,197,67,67,175,0,2
1503756252743,166,HTTP Request,200,,Thread Group 1-56,text,true,,39241,197,67,67,165,0,0
1503756252706,206,HTTP Request,200,,Thread Group 1-24,text,true,,39241,197,67,67,205,0,1
1503756252750,162,HTTP Request,200,,Thread Group 1-62,text,true,,39241,197,67,67,162,0,0
1503756252732,184,HTTP Request,200,,Thread Group 1-48,text,true,,39241,197,67,67,184,0,1
1503756252715,205,HTTP Request,200,,Thread Group 1-33,text,true,,39241,197,67,67,205,0,1
1503756252745,177,HTTP Request,200,,Thread Group 1-58,text,true,,39241,197,67,67,176,0,1
1503756252668,255,HTTP Request,200,,Thread Group 1-10,text,true,,39241,197,67,67,254,0,16
